Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Premier Viality and Wellness,New Quantity Premier Viality and Wellness,Stock Alert Enabled Premier Viality and Wellness,Stock Alert Count Premier Viality and Wellness,Modifier Set - Injectable Supplies
CJMRIZMPGOAOOBKOEWLSPQGN,Glutathione 60 mg/mL — Nasal Spray,,60 mg/mL · 15 mL,GLUTA-60-NS-15ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,70.00,,N,,,,Y,Strength/Size,60 mg/mL · 15 mL,,,,,Y
5YCKOLJG5TB6JFMZTLW7IPQ5,Hexarelin 5 mg/mL — Nasal Spray,,5 mg/mL · 7.5 mL,HEXA-5-NS-75ML,Compounded nasal spray. Concentration and size vary by selection.,Nasal Sprays,Nasal Sprays,,,hexarelin-nasal,,hidden,Physical good,,,,Y,N,N,Y,52.50,,N,,N,,Y,Strength/Size,5 mg/mL · 7.5 mL,,,,,Y
4EPRSHK5Z2YYN54572UMCF3V,Hexarelin 5 mg/mL — Nasal Spray,,5 mg/mL · 15 mL,HEXA-5-NS-15ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,140.00,,N,,,,Y,Strength/Size,5 mg/mL · 15 mL,,,,,Y
LNOTKXX54NHNAGXCKBOWGZV4,Hexarelin — Lyophilized Powder,,6000 µg · 10 mL Vial,HEXARELIN-6000-LYO-10ML,Lyophilized peptide powder in sterile vial. Prescription required.,Lyophilized,Lyophilized,,,hexarelin-lyo,,hidden,Physical good,,,,Y,N,N,Y,227.50,,N,,N,,Y,Strength/Size,6000 µg · 10 mL Vial,,,N,0,Y
D4U3HWCYKVSGMPIPE2SRZFQR,Hexarelin — Nasal Spray,,5000 µg/mL · 15 mL,HEXARELIN-5000-NS-15ML,Sterile nasal spray compounded by a licensed pharmacy. Prescription required.,Nasal Sprays,Nasal Sprays,,,hexarelin-nasal-spray,,hidden,Physical good,,,,Y,N,N,Y,140.00,,N,,N,,Y,Strength/Size,5000 µg/mL · 15 mL,,,N,0,Y
NLRMMEZCNMU33KMWFKG2GEYY,Hexarelin — Nasal Spray,,5000 µg/mL · 7.5 mL,HEXARELIN-5000-NS-7ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,78.75,,N,,,,Y,Strength/Size,5000 µg/mL · 7.5 mL,,,N,0,Y
CABL4UFGKIN5BDLFEIP4GFQY,Hexarelin — SQ Injectable,,1200 µg/mL · 5 mL,HEXARELIN-1200-SQ-5ML,Sterile subcutaneous injectable compounded by a licensed pharmacy. Prescription required.,Injectables,Injectables,,,hexarelin-sq-injectable,,hidden,Physical good,,,,Y,N,N,Y,227.50,,N,,N,,Y,Strength/Size,1200 µg/mL · 5 mL,,,N,0,Y
E2HZX4KDHXJ5FEVMMRDULJ3T,Humanin — SQ Injectable,,3000 µg/mL · 5 mL,HUMANIN-3000-SQ-5ML,Sterile subcutaneous injectable compounded by a licensed pharmacy. Prescription required.,Injectables,Injectables,,,humanin-sq-injectable,,hidden,Physical good,,,,Y,N,N,Y,376.25,,N,,N,,Y,Strength/Size,3000 µg/mL · 5 mL,,,N,0,Y
EIUDADEPUVW6LGVKJP6LKCA6,Humanin — SQ Injectable,,3000 µg/mL · 3 mL,HUMANIN-3000-SQ-3ML,,Injectables,Injectables,,,,,hidden,Physical good,,,,,,,,245.00,,N,,,,Y,Strength/Size,3000 µg/mL · 3 mL,,,N,0,Y
HE2RXZYNHZSSOYXWBXXYXDZY,Hydroquinone 4% + Fluocinolone 0.01% + Tretinoin 0.05% — Topical Cream,,4%/0.01%/0.05% · 15 mL,HQ-FLUO-TRET-4-001-005-TOP-15ML,Topical compounded cream in serum pump. Concentration and size vary by selection.,Topicals,Topicals,,,hydroquinone-fluocinolone-tretinoin-topical,,hidden,Physical good,,,,Y,N,N,Y,52.50,,N,,N,,Y,Strength/Size,4%/0.01%/0.05% · 15 mL,,,,,Y
QUA5S3PJ2LBZXMM3U2BOWFH5,Hydroquinone 4% + Fluocinolone 0.01% + Tretinoin 0.05% — Topical Cream,,4%/0.01%/0.05% · 30 mL,HQ-FLUO-TRET-4-001-005-TOP-30ML,,Topicals,Topicals,,,,,hidden,Physical good,,,,,,,,78.75,,N,,,,Y,Strength/Size,4%/0.01%/0.05% · 30 mL,,,,,Y
KGQ6PFK247LOOJB3KJBP7Z7Y,IGF-1 LR3 — Nasal Spray,,100 µg/mL · 15 mL,IGF1LR3-100-NS-15ML,Sterile nasal spray compounded by a licensed pharmacy.,Nasal Sprays,Nasal Sprays,,,igf1lr3-nasal,,hidden,Physical good,,,,Y,N,N,Y,131.25,,N,,N,,Y,Strength/Size,100 µg/mL · 15 mL,,,N,0,Y
7A3RJZ34NAY6IS7YPRRYH7SJ,IGF-1 LR3 — Nasal Spray,,100 µg/mL · 7.5 mL,IGF1LR3-100-NS-7ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,87.50,,N,,,,Y,Strength/Size,100 µg/mL · 7.5 mL,,,N,0,Y
TN64ANRMROAT2LLMTMMHCUPU,IGF-1 LR3 — SQ Injectable,,120 µg/mL · 3 mL,IGF1LR3-120-SQ-3ML,Sterile subcutaneous injectable compounded by a licensed pharmacy. Prescription required. Concentration and vial size vary by selection.,Injectables,Injectables,,,,,visible,Physical good,,,,Y,N,N,Y,157.50,,N,,N,,N,,,,,,,Y
JVEONJ32LYR5QKNGIXXB5CEL,IGF-1 LR3 — SQ Injectable,,120 µg/mL · 4 mL,IGF1LR3-120-SQ-4ML,,Injectables,Injectables,,,,,visible,Physical good,,,,,,,,175.00,,N,,,,N,,,,,,,Y
NUFBVPKVZ7I6IFIRPVVH4WYG,IGF-1 LR3 — SQ Injectable,,120 µg/mL · 5 mL,IGF1LR3-120-SQ-5ML,,Injectables,Injectables,,,,,visible,Physical good,,,,,,,,192.50,,N,,,,N,,,,,,,Y
QMMTYIJLJBJVCHUKWJKYQ7SU,Ketamine 100 mg + Oxytocin 50 IU — Nasal Spray,,100 mg/50 IU · 7.5 mL,KET-OXY-100-50-NS-75ML,Compounded nasal spray blend. Concentration and size vary by selection.,Nasal Sprays,Nasal Sprays,,,ketamine-oxy-100-50-nasal,,hidden,Physical good,,,,Y,N,N,Y,113.75,,N,,N,,Y,Strength/Size,100 mg/50 IU · 7.5 mL,,,,,Y
XQIQYZMZEIMOQGHRURVJ5HXM,Ketamine 100 mg + Oxytocin 50 IU — Nasal Spray,,100 mg/50 IU · 15 mL,KET-OXY-100-50-NS-15ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,236.25,,N,,,,Y,Strength/Size,100 mg/50 IU · 15 mL,,,,,Y
W56UODRMCXENTWDG5VFWFL77,Ketamine 100 mg/mL — Nasal Spray,,100 mg/mL · 7.5 mL,KET-100-NS-75ML,Compounded nasal spray. Concentration and size vary by selection.,Nasal Sprays,Nasal Sprays,,,ketamine100-nasal,,hidden,Physical good,,,,Y,N,N,Y,61.25,,N,,N,,Y,Strength/Size,100 mg/mL · 7.5 mL,,,,,Y
P2KUGNWUU3DDUTLD6YPLM4SD,Ketamine 100 mg/mL — Nasal Spray,,100 mg/mL · 15 mL,KET-100-NS-15ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,113.75,,N,,,,Y,Strength/Size,100 mg/mL · 15 mL,,,,,Y
QSXU6Q4SU32YW2PZCJ2DMNZV,Ketamine 50 mg/mL — Nasal Spray,,50 mg/mL · 7.5 mL,KET-50-NS-75ML,Compounded nasal spray. Concentration and size vary by selection.,Nasal Sprays,Nasal Sprays,,,ketamine50-nasal,,hidden,Physical good,,,,Y,N,N,Y,61.25,,N,,N,,Y,Strength/Size,50 mg/mL · 7.5 mL,,,,,Y
2USQF54Y4CIJXJJDM66WV35D,Ketamine 50 mg/mL — Nasal Spray,,50 mg/mL · 15 mL,KET-50-NS-15ML,,Nasal Sprays,Nasal Sprays,,,,,hidden,Physical good,,,,,,,,113.75,,N,,,,Y,Strength/Size,50 mg/mL · 15 mL,,,,,Y
US3SFUMFPJZSCVGUMK3YDSI5,Ketoconazole 2% — Topical Cream,,2% · 15 mL,KETO-2-TOP-15ML,Topical compounded cream in serum pump. Concentration and size vary by selection.,Topicals,Topicals,,,ketoconazole-topical,,hidden,Physical good,,,,Y,N,N,Y,43.75,,N,,N,,Y,Strength/Size,2% · 15 mL,,,,,Y
QC44BXYGMF2QLCJOZDEEU2XB,Ketoconazole 2% — Topical Cream,,2% · 30 mL,KETO-2-TOP-30ML,,Topicals,Topicals,,,,,hidden,Physical good,,,,,,,,61.25,,N,,,,Y,Strength/Size,2% · 30 mL,,,,,Y
DGQ2N2LZJOX2ZGFOEACM3CYZ,Kojic Acid 4% + Niacinamide 4% + Sirolimus 0.001% — Topical Cream,,4%/4%/0.001% · 15 mL,KOJ-NIA-SIRO-4-4-0001-TOP-15ML,Topical compounded cream in serum pump. Concentration and size vary by selection.,Topicals,Topicals,,,kojic-niacinamide-sirolimus-topical,,hidden,Physical good,,,,Y,N,N,Y,78.75,,N,,N,,Y,Strength/Size,4%/4%/0.001% · 15 mL,,,,,Y
